No,lat,lng,住所
101,35.927528,136.158329,本保町14-32-2
102,35.924039,136.157607,本保町24-6-1
103,35.921257,136.14459,片屋町12-15
104,35.921986,136.148011,片屋町27-21
105,35.922868,136.147223,片屋町16-37
106,35.920032,136.144188,片屋町11-30
107,35.91831,136.15485,片屋町52-13-1
108,35.922425,136.154805,片屋町46-13-5
109,35.923037,136.145561,片屋町15-2
110,35.919845,136.162487,芝原2丁目3-12
111,35.918886,136.160539,芝原4-1-30
112,35.925009,136.161405,芝原5丁目14-29-1
113,35.926009,136.161543,芝原5丁目21-35
114,35.920595,136.161546,芝原5-1-1
115,35.931689,136.166652,家久町49字
116,35.928248,136.172292,家久町79-1-9
117,35.921292,136.168665,家久町102-3-3
118,35.92538,136.167887,家久町70-7
119,35.923151,136.16603,家久町93-1-14
120,35.930983,136.163977,家久町52-13-2
121,35.922534,136.166932,家久町94-2-1
122,35.930482,136.143464,余田町39-56
123,35.935216,136.155242,余田町1-2-3
124,35.933218,136.14398,余田町14-37
125,35.924,136.14869,氷坂町46-33-2